Partner Countries,Year,Value
Algeria,2002,935
Algeria,2005,10600
Algeria,2006,35144
Argentina,1995,24809
Argentina,1998,283091
Argentina,1999,25447
Argentina,2000,147610
Argentina,2001,4575
Argentina,2002,51850
Argentina,2003,2000
Argentina,2004,123512
Argentina,2005,703000
Argentina,2006,12450
Argentina,2007,73095
Argentina,2009,13400
Argentina,2011,374933
Argentina,2013,12344
Argentina,2016,189000
Argentina,2017,121989
Australia,1986,1805812
Australia,1987,1405498
Australia,1988,1591093
Australia,1989,658692
Australia,1990,1805459
Australia,1991,1912096
Australia,1992,1242054
Australia,1993,755395
Australia,1994,1827624
Australia,1996,711660
Australia,1998,625667
Australia,1999,525043
Australia,2000,775559
Australia,2001,741843
Australia,2002,930245
Australia,2003,350102
Australia,2004,1029617
Australia,2005,685375
Australia,2006,965554
Australia,2007,288582
Australia,2009,182181
Australia,2011,947185
Australia,2013,72961
Australia,2014,276184
Australia,2015,472182
Australia,2016,171548
Australia,2017,202026
Australia,2018,264309
Australia,2019,32724
Australia,2020,203640
Austria,2006,3550
Azerbaijan,2007,5000
Bangladesh,1989,4104
Belarus,2009,426214
Belarus,2011,4343
Belarus,2014,
Belarus,2015,
Belarus,2017,48973
Belarus,2018,67604
Belarus,2019,57750
Belgium,2015,0
Belgium-Luxembourg,1989,47226
Belgium-Luxembourg,1993,576
Brazil,2001,5000
Brazil,2002,30807
Brazil,2003,3462
Brazil,2004,120758
Brazil,2005,31000
Brazil,2009,11297
Brazil,2011,76443
Brazil,2013,145
Brazil,2015,
Brazil,2019,5
Bulgaria,1995,5428
Bulgaria,2002,53148
Bulgaria,2003,8437
Bulgaria,2006,31053
Bulgaria,2007,2000
Bulgaria,2009,1288
Bulgaria,2013,11043
Bulgaria,2014,33000
Bulgaria,2015,53103
Bulgaria,2016,36201
Bulgaria,2017,87269
Bulgaria,2018,57741
Bulgaria,2019,14
Bulgaria,2020,46593
Canada,1986,231500
Canada,1987,206222
Canada,1988,74940
