Partner Countries,Year,Value
Afghanistan,2005,207
Afghanistan,2007,101
Afghanistan,2019,21
Argentina,2010,375
Argentina,2017,49
Argentina,2019,100
Argentina,2020,519
Australia,1986,25581
Australia,1987,20353
Australia,1988,14677
Australia,1989,14291
Australia,1998,21970
Australia,2000,31516
Australia,2001,27044
Australia,2002,23404
Australia,2003,23831
Australia,2004,20942
Australia,2005,16267
Australia,2006,14400
Australia,2007,20856
Australia,2010,479
Australia,2011,14651
Australia,2012,29840
Australia,2013,23707
Australia,2014,24698
Australia,2015,37852
Australia,2016,16784
Australia,2017,19513
Australia,2018,30358
Australia,2019,16176
Australia,2020,4316
Austria,2004,0
Bahrain,2007,6
Bahrain,2016,
Bangladesh,1998,434
Bangladesh,2000,550
Bangladesh,2001,96
Bangladesh,2002,111
Bangladesh,2003,90
Bangladesh,2004,141
Bangladesh,2005,344
Bangladesh,2006,420
Bangladesh,2007,747
Bangladesh,2010,339
Bangladesh,2011,466
Bangladesh,2012,822
Bangladesh,2013,598
Bangladesh,2014,1094
Bangladesh,2015,1282
Bangladesh,2016,1291
Bangladesh,2017,1484
Bangladesh,2018,1964
Bangladesh,2019,2331
Bangladesh,2020,3798
Belgium,2004,4
Belgium,2005,10
Belgium,2006,1
Belgium,2018,1
Belgium,2019,21
Belgium-Luxembourg,1986,7
Brazil,2001,1
Brazil,2005,1
Brazil,2010,132
Brazil,2011,1477
Brazil,2012,2120
Brazil,2013,3356
Brazil,2014,7286
Brazil,2015,9285
Brazil,2016,6687
Brazil,2017,7864
Brazil,2018,6834
Brazil,2019,10918
Brazil,2020,9836
Bulgaria,2018,72
Bulgaria,2019,149
Bulgaria,2020,1545
Cambodia,2006,198
Cambodia,2013,1019
Cambodia,2014,169
Cambodia,2015,46
Cambodia,2016,192
Cambodia,2017,340
Cambodia,2018,558
Cambodia,2020,3302
Canada,1986,35
Canada,1989,80
Canada,1998,7
Canada,2000,500
Canada,2002,0
Canada,2003,0
Canada,2004,0
Canada,2006,0
Canada,2007,0
Canada,2017,
Canada,2018,1
Canada,2019,1
Canada,2020,2
"China, Hong Kong SAR",1986,85
"China, Hong Kong SAR",1987,88
"China, Hong Kong SAR",2000,0
"China, Hong Kong SAR",2003,21
"China, Hong Kong SAR",2004,89
"China, mainland",1986,70
"China, mainland",2000,23
"China, mainland",2004,147
"China, mainland",2005,122
"China, mainland",2006,233
"China, mainland",2007,669
"China, mainland",2010,358
"China, mainland",2011,1116
"China, mainland",2012,962
"China, mainland",2013,236
"China, mainland",2014,998
"China, mainland",2015,607
"China, mainland",2016,234
"China, mainland",2017,962
"China, mainland",2018,1852
"China, mainland",2019,924
"China, mainland",2020,2508
"China, Taiwan Province of",1986,933
"China, Taiwan Province of",1987,618
"China, Taiwan Province of",1998,201
"China, Taiwan Province of",2000,107
"China, Taiwan Province of",2002,110
"China, Taiwan Province of",2003,7
"China, Taiwan Province of",2006,73
"China, Taiwan Province of",2010,40
"China, Taiwan Province of",2011,30
"China, Taiwan Province of",2015,194
"China, Taiwan Province of",2016,42
"China, Taiwan Province of",2020,7
Cyprus,2000,22
Egypt,1986,1150
Egypt,1988,1732
Egypt,1989,850
Egypt,1998,2240
Egypt,2000,3811
Egypt,2001,6029
Egypt,2002,6149
Egypt,2003,8387
Egypt,2004,18572
Egypt,2005,23045
Egypt,2006,21135
Egypt,2007,28803
Egypt,2009,33525
Egypt,2010,13954
Egypt,2012,1083
Egypt,2013,16680
Egypt,2014,899
Egypt,2015,11798
Egypt,2016,3786
Egypt,2017,460
Egypt,2018,801
Egypt,2019,1100
Egypt,2020,567
El Salvador,2001,42
Finland,1987,106
Finland,2004,128
France,1986,3
France,1998,0
France,2000,4
France,2001,7
France,2002,1
France,2003,1
France,2004,6
France,2005,6
France,2006,5
France,2007,4
France,2016,
France,2017,
France,2018,2
France,2020,
Germany,2007,1
Germany,2016,
Germany,2017,
Germany,2018,1
Germany,2019,1
Germany,2020,3
Greece,2014,455
Greece,2015,1233
Greece,2016,2290
Greece,2017,2471
Greece,2018,815
Guatemala,2002,2
India,1986,55710
India,1987,75325
India,1988,62795
India,1989,113147
India,1998,531262
India,2000,618930
India,2001,475579
India,2002,463150
India,2003,474959
India,2004,778178
India,2005,740243
India,2006,705847
India,2007,657309
India,2009,793521
India,2010,819364
India,2011,709973
India,2012,847376
India,2013,859098
India,2014,1046542
India,2015,1206994
India,2016,914922
India,2017,827446
India,2018,968660
India,2019,1045884
India,2020,1199521
Indonesia,1986,10
Indonesia,1998,508
Indonesia,2000,2
Indonesia,2002,11
Indonesia,2003,7
Indonesia,2004,5
Indonesia,2005,11
Indonesia,2006,4
Indonesia,2007,13
Indonesia,2018,13
Indonesia,2019,17
Indonesia,2020,14
Iran (Islamic Republic of),1998,76
Iran (Islamic Republic of),2000,204
Iran (Islamic Republic of),2001,65
Iran (Islamic Republic of),2002,108
Iran (Islamic Republic of),2003,149
Iran (Islamic Republic of),2004,36
Iran (Islamic Republic of),2005,42
Iran (Islamic Republic of),2006,39
Iran (Islamic Republic of),2007,10
Iraq,1986,3
Iraq,1987,793
Iraq,1988,1470
Iraq,1989,1580
Iraq,2003,5
Iraq,2005,9
Iraq,2018,47
Iraq,2019,50
Iraq,2020,56
Ireland,2002,176
Italy,1986,2156
Italy,1987,727
Italy,1988,3811
Italy,2000,3
Italy,2001,3
Italy,2002,274
Italy,2003,90
Italy,2004,206
Italy,2005,102
Italy,2006,32
Italy,2007,34
Italy,2013,107
Italy,2014,33
Italy,2015,257
Italy,2016,422
Italy,2017,381
Italy,2018,432
Italy,2019,800
Italy,2020,2059
Japan,1986,43
Japan,1998,500
Japan,2000,0
Japan,2001,0
Japan,2002,0
Japan,2003,1
Japan,2004,0
Japan,2005,0
Japan,2006,0
Japan,2007,2
Japan,2014,8
Japan,2017,2
Japan,2018,3
Japan,2019,1
Japan,2020,5
Jordan,2016,
Jordan,2017,
Kenya,2007,6
Kuwait,2002,211
Kuwait,2016,
Kuwait,2017,
Lebanon,2001,0
Lebanon,2002,1
Lebanon,2003,2
Lebanon,2004,1
Lebanon,2005,1
Lebanon,2006,1
Lebanon,2007,2
Lebanon,2016,
Lebanon,2017,
Lebanon,2018,51
Lebanon,2020,
Malaysia,2004,1
Malaysia,2019,2
Mexico,2006,0
Mongolia,2018,48
Myanmar,2001,200
Myanmar,2002,25
Myanmar,2014,18
Myanmar,2016,
Netherlands,1998,1
Netherlands,2000,1
Netherlands,2001,0
Netherlands,2002,0
Netherlands,2003,0
Netherlands,2004,0
Netherlands,2005,1
Netherlands,2006,1
Netherlands,2007,1
Netherlands,2016,
Netherlands,2017,
Netherlands,2020,2
New Zealand,2001,300
New Zealand,2002,117
New Zealand,2004,600
New Zealand,2005,1
New Zealand,2006,600
New Zealand,2007,796
New Zealand,2014,900
Nigeria,1989,50
Norway,2004,0
Oman,2000,55
Oman,2001,162
Oman,2002,48
Oman,2003,5
Oman,2006,0
Oman,2017,
Pakistan,1986,79765
Pakistan,1987,81840
Pakistan,1988,54950
Pakistan,1989,23829
Pakistan,1998,51484
Pakistan,2000,94449
Pakistan,2001,79813
Pakistan,2002,54720
Pakistan,2003,65293
Pakistan,2004,81217
Pakistan,2005,142292
Pakistan,2006,89569
Pakistan,2007,74131
Pakistan,2009,171228
Pakistan,2010,198968
Pakistan,2011,129476
Pakistan,2012,128240
Pakistan,2013,152000
Pakistan,2014,151423
Pakistan,2015,130615
Pakistan,2016,106732
Pakistan,2017,89512
Pakistan,2018,93272
Pakistan,2019,134885
Pakistan,2020,126799
Paraguay,2007,0
Paraguay,2015,65
Peru,2018,12
Philippines,2001,115
Philippines,2004,4
Philippines,2005,0
Philippines,2016,20
Philippines,2017,82
Philippines,2018,23
Philippines,2019,271
Philippines,2020,63
Portugal,2015,1275
Portugal,2016,695
Portugal,2017,1826
Portugal,2018,2554
Portugal,2019,1612
Portugal,2020,2401
Republic of Korea,1986,123
Republic of Korea,2000,0
Republic of Korea,2001,0
Republic of Korea,2002,0
Republic of Korea,2003,0
Republic of Korea,2004,1
Republic of Korea,2005,1
Republic of Korea,2006,0
Republic of Korea,2007,0
Republic of Korea,2016,
Republic of Korea,2017,37
Republic of Korea,2018,2
Republic of Korea,2019,3
Republic of Korea,2020,7
Romania,2020,21
Russian Federation,2003,0
Russian Federation,2016,
Russian Federation,2017,750
Russian Federation,2020,25
Serbia,2020,40
Singapore,1986,240
