Partner Countries,Item,Year
Argentina,Wheat,2012
Argentina,Wheat,2015
Australia,Wheat,1986
Australia,Wheat,2000
Australia,Wheat,2005
Australia,Wheat,2010
Australia,Wheat,2011
Australia,Wheat,2012
Australia,Wheat,2013
Australia,Wheat,2014
Australia,Wheat,2016
Australia,Wheat,2017
Australia,Wheat,2020
Bahrain,Wheat,2000
Bahrain,Wheat,2001
Bahrain,Wheat,2004
Bahrain,Wheat,2005
Bahrain,Wheat,2006
Bahrain,Wheat,2011
Bahrain,Wheat,2016
Belgium,Wheat,2006
Belgium,Wheat,2016
Brazil,Wheat,2011
Brazil,Wheat,2012
Brazil,Wheat,2013
Brazil,Wheat,2015
Brazil,Wheat,2017
Brazil,Wheat,2020
Bulgaria,Wheat,2011
Canada,Wheat,2006
Canada,Wheat,2007
Canada,Wheat,2009
Canada,Wheat,2010
Canada,Wheat,2011
Canada,Wheat,2012
Canada,Wheat,2013
Canada,Wheat,2014
Canada,Wheat,2015
Canada,Wheat,2016
Canada,Wheat,2017
"China, mainland",Wheat,2004
Czechia,Wheat,2009
Czechia,Wheat,2010
Czechia,Wheat,2011
Czechia,Wheat,2013
Czechia,Wheat,2014
Czechia,Wheat,2016
Czechia,Wheat,2017
Democratic People's Republic of Korea,Wheat,2000
Denmark,Wheat,2005
Egypt,Wheat,2000
Egypt,Wheat,2001
Egypt,Wheat,2002
Egypt,Wheat,2004
Egypt,Wheat,2005
Egypt,Wheat,2017
Egypt,Wheat,2020
Estonia,Wheat,2016
Estonia,Wheat,2017
Estonia,Wheat,2020
Ethiopia,Wheat,2000
Ethiopia,Wheat,2002
Finland,Wheat,2015
Finland,Wheat,2017
France,Wheat,2003
France,Wheat,2004
France,Wheat,2006
France,Wheat,2007
France,Wheat,2013
France,Wheat,2014
France,Wheat,2016
France,Wheat,2017
France,Wheat,2018
France,Wheat,2019
France,Wheat,2020
Germany,Wheat,2000
Germany,Wheat,2010
Germany,Wheat,2011
Germany,Wheat,2012
Germany,Wheat,2013
Germany,Wheat,2014
Germany,Wheat,2015
Germany,Wheat,2016
Germany,Wheat,2017
Germany,Wheat,2018
Germany,Wheat,2019
Germany,Wheat,2020
India,Wheat,2002
India,Wheat,2003
India,Wheat,2004
India,Wheat,2005
India,Wheat,2006
India,Wheat,2007
India,Wheat,2013
India,Wheat,2015
India,Wheat,2016
India,Wheat,2017
Iran (Islamic Republic of),Wheat,2001
Iran (Islamic Republic of),Wheat,2004
Iraq,Wheat,1986
Iraq,Wheat,1988
Italy,Wheat,2003
Italy,Wheat,2005
Italy,Wheat,2007
Italy,Wheat,2016
Italy,Wheat,2018
Italy,Wheat,2019
Japan,Wheat,2003
Jordan,Wheat,1998
Jordan,Wheat,2005
Jordan,Wheat,2006
Kazakhstan,Wheat,2010
Kuwait,Wheat,2001
Kuwait,Wheat,2002
Kuwait,Wheat,2003
Kuwait,Wheat,2006
Kuwait,Wheat,2007
Kuwait,Wheat,2016
Kuwait,Wheat,2017
Latvia,Wheat,2009
Latvia,Wheat,2010
Latvia,Wheat,2011
Latvia,Wheat,2013
Latvia,Wheat,2016
Latvia,Wheat,2017
Latvia,Wheat,2018
Latvia,Wheat,2020
Lebanon,Wheat,2001
Lebanon,Wheat,2005
Lebanon,Wheat,2006
Lebanon,Wheat,2014
Lebanon,Wheat,2015
Lebanon,Wheat,2016
Lebanon,Wheat,2017
Lebanon,Wheat,2020
Lithuania,Wheat,2009
Lithuania,Wheat,2010
Lithuania,Wheat,2011
Lithuania,Wheat,2012
Lithuania,Wheat,2013
Lithuania,Wheat,2014
Lithuania,Wheat,2015
Lithuania,Wheat,2016
Lithuania,Wheat,2017
Lithuania,Wheat,2018
Lithuania,Wheat,2019
Lithuania,Wheat,2020
Malaysia,Wheat,2006
Maldives,Wheat,2001
Maldives,Wheat,2016
Netherlands,Wheat,2000
Netherlands,Wheat,2001
Netherlands,Wheat,2003
Netherlands,Wheat,2004
Netherlands,Wheat,2005
Netherlands,Wheat,2007
Netherlands,Wheat,2009
Netherlands,Wheat,2014
Oman,Wheat,2003
Oman,Wheat,2017
Poland,Wheat,2009
Poland,Wheat,2011
Poland,Wheat,2012
Poland,Wheat,2013
Poland,Wheat,2014
Poland,Wheat,2015
Poland,Wheat,2016
Poland,Wheat,2017
Poland,Wheat,2018
Poland,Wheat,2019
Poland,Wheat,2020
Qatar,Wheat,2006
Romania,Wheat,2011
Romania,Wheat,2012
Romania,Wheat,2015
Russian Federation,Wheat,2003
Russian Federation,Wheat,2011
Russian Federation,Wheat,2012
Russian Federation,Wheat,2019
Russian Federation,Wheat,2020
Slovakia,Wheat,2010
Slovakia,Wheat,2011
Slovakia,Wheat,2013
Slovakia,Wheat,2014
South Africa,Wheat,2000
Sudan (former),Wheat,2005
Sweden,Wheat,2003
Sweden,Wheat,2017
Syrian Arab Republic,Wheat,2003
Syrian Arab Republic,Wheat,2004
Syrian Arab Republic,Wheat,2006
Turkey,Wheat,1986
Turkey,Wheat,1987
Turkey,Wheat,2003
Turkey,Wheat,2004
Turkey,Wheat,2005
Turkey,Wheat,2006
Turkey,Wheat,2007
Turkey,Wheat,2010
Turkey,Wheat,2011
Turkey,Wheat,2013
Turkey,Wheat,2014
Turkey,Wheat,2015
Turkey,Wheat,2017
Ukraine,Wheat,2011
Ukraine,Wheat,2012
Ukraine,Wheat,2016
Ukraine,Wheat,2020
United Arab Emirates,Wheat,1998
United Arab Emirates,Wheat,2001
United Arab Emirates,Wheat,2002
United Arab Emirates,Wheat,2004
United Arab Emirates,Wheat,2005
United Arab Emirates,Wheat,2006
United Arab Emirates,Wheat,2007
United Arab Emirates,Wheat,2010
United Kingdom of Great Britain and Northern Ireland,Wheat,2002
United Kingdom of Great Britain and Northern Ireland,Wheat,2014
United Kingdom of Great Britain and Northern Ireland,Wheat,2016
United Kingdom of Great Britain and Northern Ireland,Wheat,2017
United States of America,Wheat,1986
United States of America,Wheat,1987
United States of America,Wheat,1988
United States of America,Wheat,1989
United States of America,Wheat,2000
United States of America,Wheat,2002
United States of America,Wheat,2003
United States of America,Wheat,2004
United States of America,Wheat,2005
United States of America,Wheat,2007
United States of America,Wheat,2010
United States of America,Wheat,2011
United States of America,Wheat,2012
United States of America,Wheat,2013
United States of America,Wheat,2014
United States of America,Wheat,2017
United States of America,Wheat,2018
United States of America,Wheat,2020
